date,hour,miniute,end,meannumber
4,10,30,17,213.9308943
4,10,30,18,137.8943089
4,10,30,19,108.7764228
4,10,30,20,111.0162602
4,10,30,21,131.1138211
4,10,30,22,70.9004065
4,10,30,23,147.3231707
4,10,30,24,143.1077236
4,11,0,9,195.1300813
4,11,0,10,190.4308943
4,11,0,11,167.7682927
4,11,0,12,276.3069106
4,11,0,13,159.2581301
4,11,0,14,137.7825203
4,11,0,15,147.5955285
4,11,0,16,144.2703252
4,11,0,17,203.8434959
4,11,0,18,130.953252
4,11,0,19,105.6382114
4,11,0,20,111.7621951
4,11,0,21,130.3191057
4,11,0,22,70.64634146
4,11,0,23,143.1686992
4,11,0,24,141.2357724
4,11,30,9,203.554878
4,11,30,10,197.5670732
4,11,30,11,174.054878
4,11,30,12,278.6504065
4,11,30,13,157.6056911
4,11,30,14,136.0609756
4,11,30,15,142.6585366
4,11,30,16,141.8577236
4,11,30,17,199.9715447
4,11,30,18,131.5081301
4,11,30,19,106.0711382
4,11,30,20,112.4166667
4,11,30,21,129.8434959
4,11,30,22,70.47154472
4,11,30,23,138.8353659
4,11,30,24,137.3394309
4,12,0,9,197.8658537
4,12,0,10,191.199187
4,12,0,11,169.9288618
4,12,0,12,271.4512195
4,12,0,13,150.5995935
4,12,0,14,128.5995935
4,12,0,15,137.1504065
4,12,0,16,137.7012195
4,12,0,17,195.9146341
4,12,0,18,128.0203252
4,12,0,19,104.7906504
4,12,0,20,113.9369919
4,12,0,21,129.7926829
4,12,0,22,69.81504065
4,12,0,23,136.1646341
4,12,0,24,143.2682927
4,12,30,9,206.2174797
4,12,30,10,204.7743902
4,12,30,11,183.3394309
4,12,30,12,289.2926829
4,12,30,13,162.1056911
4,12,30,14,138.6199187
4,12,30,15,151.1707317
4,12,30,16,150.8658537
4,12,30,17,209.3028455
4,12,30,18,138.8231707
4,12,30,19,112.7845528
4,12,30,20,119.2987805
4,12,30,21,141.4471545
4,12,30,22,76.94308943
4,12,30,23,154.254065
4,12,30,24,149.7398374
4,13,0,9,213.5121951
4,13,0,10,213.4593496
4,13,0,11,190.4126016
4,13,0,12,294.8130081
4,13,0,13,168.75
4,13,0,14,144.3333333
4,13,0,15,159.8089431
4,13,0,16,156.7743902
4,13,0,17,218.1910569
4,13,0,18,142.1402439
4,13,0,19,111.6646341
4,13,0,20,121.3780488
4,13,0,21,144.0081301
4,13,0,22,77.12601626
4,13,0,23,158.9817073
4,13,0,24,153.3861789
4,13,30,9,219.3170732
4,13,30,10,218.6239837
4,13,30,11,194.4471545
4,13,30,12,306.2154472
4,13,30,13,175.195122
4,13,30,14,150.0284553
4,13,30,15,166.9410569
4,13,30,16,165.5589431
4,13,30,17,232.945122
4,13,30,18,149.9898374
4,13,30,19,121.2520325
4,13,30,20,129.3495935
4,13,30,21,151.9918699
4,13,30,22,83.16666667
4,13,30,23,169.1341463
4,13,30,24,164.2317073
4,14,0,9,211.0630081
4,14,0,10,213.3170732
4,14,0,11,194.8556911
4,14,0,12,298.1158537
4,14,0,13,169.9105691
4,14,0,14,146.8841463
4,14,0,15,160.7154472
4,14,0,16,158.1239837
4,14,0,17,228.0813008
4,14,0,18,147.2195122
4,14,0,19,118.004065
4,14,0,20,127.5243902
4,14,0,21,150.4207317
4,14,0,22,83.40447154
4,14,0,23,172.2865854
4,14,0,24,168.9044715
4,14,30,9,207.3414634
4,14,30,10,209.9898374
4,14,30,11,193.7378049
4,14,30,12,291.6382114
4,14,30,13,169.6077236
